"DIN6912def"
"Dia","P","b","dk_max","da","ds_min","e","k","r","s_mean","t1","t2","v","dw"
"M4",0.7,14,7,4.7,3.82,3.44,2.8,0.2,3,1.6,3.3,0.4,6.2
"M5",0.8,16,8.5,5.7,4.82,4.58,3.5,0.2,4,2,4,0.5,7.7
"M6",1,18,10,6.8,5.82,5.72,4,0.25,5,2.5,5,0.6,9.2
"M8",1.25,22,13,9.2,7.78,6.86,5,0.4,6,3,6.5,0.8,12.03
"M10",1.5,26,16,11.2,9.78,9.15,6.5,0.4,8,3.5,7.5,1,15.03
"M12",1.75,30,18,13.7,11.73,11.43,7.5,0.6,10,4,9,1.2,17.03
"(M14)",2,34,21,15.7,13.73,13.72,8.5,0.6,12,4.5,10,1.4,19.83
"M16",2,38,24,17.7,15.73,16,10,0.6,14,5.5,11.5,1.6,22.83
"(M18)",2.5,42,27,20.2,17.73,16,11,0.6,14,6,12.5,1.8,25.83
"M20",2.5,46,30,22.4,19.67,19.44,12,0.8,17,6.5,14,2,28.83
"(M22)",2.5,50,33,24.4,21.67,19.44,13,0.8,17,7,15,2.2,31.61
"M24",3,54,36,26.4,23.67,21.73,14,0.8,19,7,16,2.4,34.61
"(M27)",3,60,40,30.4,26.67,21.73,16,1,19,8.5,17,2.7,38.61
"M30",3.5,66,45,33.4,29.67,25.15,17.5,1,22,9,19,3,43.61
"(M33)",3.5,72,50,36.4,32.61,27.43,19.5,1,24,10,20,3.3,48.61
"M36",4,78,54,39.4,65.61,30.85,21.5,1,27,11.5,24,3.6,52.34

"DIN6912length"
"Nominal","Min","Max"
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7
"110",109.3,110.75
"120",119.3,120.75
"130",129.2,130.8
"140",139.2,140.8
"150",149.2,150.8
"160",159.2,160.8
"170",169.2,170.8
"180",179.2,180.8
"190",189.1,190.9
"200",199.1,200.9

"DIN6912range"
"Dia","Min_L","Max_L"
"M4","10","50"
"M5","10","60"
"M6","10","70"
"M8","12","80"
"M10","16","90"
"M12","16","100"
"(M14)","20","120"
"M16","20","140"
"(M18)","25","150"
"M20","30","180"
"(M22)","40","200"
"M24","60","200"
"(M27)","70","200"
"M30","70","200"
"(M33)","80","200"
"M36","90","200"
