"ISO10642def"
"Dia","P","b","dk_theo","csh_diam","da","ds_min","e","csh_height","r","s_mean","t","w"
"M2",0.4,16.0,4.09,3.9,2.36,1.86,1.454,1.24,0.1,1.34,0.8,0.15
"M2.5",0.45,25.0,5.08,4.9,2.74,2.36,1.773,1.55,0.1,1.54,1.08,0.20
"M3",0.5,18.0,6.72,6.0,3.3,2.86,2.31,1.86,0.1,2.06,1.1,0.25
"M4",0.7,20.0,8.96,8.0,4.4,3.82,2.88,2.48,0.2,2.56,1.5,0.45
"M5",0.8,22.0,11.2,10.0,5.5,4.82,3.45,3.1,0.2,3.06,1.9,0.66
"M6",1.0,24.0,13.44,12.0,6.6,5.82,4.59,3.72,0.25,4.06,2.2,0.7
"M8",1.25,28.0,17.92,16.0,8.54,7.78,5.73,4.96,0.4,5.06,3.0,1.16
"M10",1.5,32.0,22.4,20.5,10.62,9.78,6.87,6.2,0.4,6.06,3.6,1.62
"M12",1.75,36.0,26.88,25.0,13.5,11.73,9.15,7.44,0.6,8.07,4.3,1.8
"(M14)",2.0,40.0,30.8,28.4,15.5,13.73,11.43,8.4,0.6,10.07,4.5,1.62
"M16",2.0,44.0,33.6,31.0,17.5,15.73,11.43,8.8,0.6,10.07,4.8,2.2
"M20",2.5,52.0,40.32,38.0,22.0,19.67,13.72,10.16,0.8,12.1,5.6,2.2

"ISO10642length"
"Nominal","Min","Max"
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7

"ISO10642range"
"Dia","Min_L","Max_L"
"M2","5","16"
"M2.5","6","25"
"M3","8","30"
"M4","8","40"
"M5","8","50"
"M6","8","60"
"M8","10","80"
"M10","12","100"
"M12","20","100"
"(M14)","25","100"
"M16","30","100"
"M20","35","100"
