"ISO2340Adef"
"ISO2340Bdef"
"Dia","d_1","d_2","c","l_e"
"3 mm",3,0.8,1,1.6
"4 mm",4,1,1,2.2
"5 mm",5,1.2,2,2.9
"6 mm",6,1.6,2,3.2
"8 mm",8,2,2,3.5
"10 mm",10,3.2,2,4.5
"12 mm",12,3.2,3,5.5
"14 mm",14,4,3,6
"16 mm",16,4,3,6
"18 mm",18,5,3,7
"20 mm",20,5,4,8
"22 mm",22,5,4,8
"24 mm",24,6.3,4,9
"27 mm",27,6.3,4,9
"30 mm",30,8,4,10
"33 mm",33,8,4,10
"36 mm",36,8,4,10
"40 mm",40,8,4,10
"45 mm",45,10,4,12
"50 mm",50,10,4,12
"55 mm",55,10,6,14
"60 mm",60,10,6,14
"70 mm",70,13,6,16
"80 mm",80,13,6,16
"90 mm",90,13,6,16
"100 mm",100,13,6,16

"ISO2340Alength"
"ISO2340Blength"
"nom","min","max"
"6",5.75,6.25
"8",7.75,8.25
"10",9.75,10.25
"12",11.5,12.5
"14",13.5,14.5
"16",15.5,16.5
"18",17.5,18.5
"20",19.5,20.5
"22",21.5,22.5
"24",23.5,24.5
"26",25.5,26.5
"28",27.5,28.5
"30",29.5,30.5
"32",31.5,32.5
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.25,55.75
"60",59.25,60.75
"65",64.25,65.75
"70",69.25,70.75
"75",74.25,75.75
"80",79.25,80.75
"85",84.25,85.75
"90",89.25,90.75
"95",94.25,95.75
"100",99.25,100.75
"120",119.25,120.75
"140",139.25,140.75
"160",159.25,160.75
"180",179.25,180.75
"200",199.25,200.75

"ISO2340Arange"
"ISO2340Brange"
"Dia","min_L","max_L"
"3 mm","6","30"
"4 mm","8","40"
"5 mm","10","50"
"6 mm","12","60"
"8 mm","16","80"
"10 mm","20","100"
"12 mm","24","120"
"14 mm","28","140"
"16 mm","32","160"
"18 mm","35","180"
"20 mm","40","200"
"22 mm","45","200"
"24 mm","50","200"
"27 mm","55","200"
"30 mm","60","200"
"33 mm","65","200"
"36 mm","70","200"
"40 mm","80","200"
"45 mm","90","200"
"50 mm","100","200"
"55 mm","120","200"
"60 mm","120","200"
"70 mm","140","200"
"80 mm","160","200"
"90 mm","180","200"
"100 mm","200","200"
