"ISO4014def"
"Dia","P","b1","b2","b3","c","dw","e","k","r","s"
"M1.6",0.35,9.0,15.0,28.0,0.2,2.3,3.4,1.1,0.1,3.2
"M2",0.4,10.0,16.0,29.0,0.2,3.0,4.4,1.4,0.1,4.0
"M2.5",0.45,11.0,17.0,30.0,0.2,4.0,5.5,1.7,0.1,5.0
"M3",0.5,12.0,18.0,31.0,0.2,4.6,6.1,2.0,0.1,5.5
"(M3.5)",0.6,13.0,19.0,32.0,0.2,5.1,6.6,2.4,0.1,6.0
"M4",0.7,14.0,20.0,33.0,0.2,5.9,7.7,2.8,0.2,7.0
"M5",0.8,16.0,22.0,35.0,0.2,6.9,8.9,3.5,0.2,8.0
"M6",1.0,18.0,24.0,37.0,0.2,8.9,11.05,4.0,0.25,10.0
"M8",1.25,22.0,28.0,41.0,0.3,11.7,14.5,5.3,0.4,13.0
"M10",1.5,26.0,32.0,45.0,0.3,14.7,17.9,6.4,0.4,16.0
"M12",1.75,30.0,36.0,49.0,0.3,16.7,20.1,7.5,0.6,18.0
"(M14)",2.0,34.0,40.0,53.0,0.3,20.5,24.5,8.8,0.6,22.0
"M16",2.0,38.0,44.0,57.0,0.4,22.4,26.9,10.0,0.6,24.0
"(M18)",2.5,42.0,48.0,61.0,0.4,25.4,30.2,11.5,0.6,27.0
"M20",2.5,46.0,52.0,65.0,0.4,28.2,33.7,12.5,0.8,30.0
"(M22)",2.5,50.0,56.0,69.0,0.4,31.8,37.7,14.0,0.8,34.0
"M24",3.0,54.0,60.0,73.0,0.4,33.7,40.1,15.0,0.8,36.0
"(M27)",3.0,60.0,66.0,79.0,0.4,38.0,45.2,17.0,1.0,41.0
"M30",3.5,66.0,72.0,85.0,0.4,42.8,50.9,18.7,1.0,46.0
"(M33)",3.5,78.0,78.0,91.0,0.4,46.6,55.4,21.0,1.0,50.0
"M36",4.0,84.0,84.0,97.0,0.4,51.2,60.8,22.5,1.0,55.0
"(M39)",4.0,90.0,90.0,103.0,0.5,55.9,66.5,25.0,1.0,60.0
"M42",4.5,96.0,96.0,109.0,0.6,60.0,71.3,26.0,1.2,65.0
"(M45)",4.5,102.0,102.0,115.0,0.7,64.7,77.0,28.0,1.2,70.0
"M48",5.0,108.0,108.0,121.0,0.6,69.5,82.6,30.0,1.6,75.0
"(M52)",5.0,116.0,116.0,129.0,0.7,74.5,88.3,33.0,1.6,80.0
"M56",5.5,137.0,137.0,137.0,0.6,78.7,93.6,35.0,2.0,85.0
"(M60)",5.5,145.0,145.0,145.0,0.7,82.7,99.2,38.0,2.0,90.0
"M64",6.0,153.0,153.0,153.0,0.6,88.2,104.9,40.0,2.0,55.0
