"ISO4766def"
"Dia","dp_max","dp_min","n_nom","n_max","n_min","t_nom_min","t_max"
"M1.2",0.6,0.35,0.2,0.26,0.4,0.4,0.52
"M1.6",0.8,0.55,0.25,0.31,0.45,0.56,0.74
"M2",1,0.75,0.25,0.31,0.45,0.64,0.84
"M2.5",1.5,1.25,0.4,0.46,0.6,0.72,0.95
"M3",2,1.75,0.4,0.46,0.6,0.8,1.05
"(M3.5)",2.2,1.95,0.5,0.56,0.7,0.96,1.21
"M4",2.5,2.25,0.6,0.66,0.8,1.12,1.45
"M5",3.5,3.2,0.8,0.86,1,1.28,1.63
"M6",4,3.7,1,1.06,1.2,1.6,2
"M8",5.5,5.2,1.2,1.26,1.51,2,2.5
"M10",7,6.67,1.6,1.66,1.91,2.4,3
"M12",8.5,8.14,2,2.06,2.31,2.8,3.6
