"ISO8740def"
"Dia","d_1","c_1","c_2","a"
"1.5 mm",1.5,0.12,0.6,0.2
"2 mm",2,0.18,0.8,0.25
"2.5 mm",2.5,0.25,1,0.3
"3 mm",3,0.3,1.2,0.4
"4 mm",4,0.4,1.4,0.5
"5 mm",5,0.5,1.7,0.63
"6 mm",6,0.6,2.1,0.8
"8 mm",8,0.8,1.6,1
"10 mm",10,1,3,1.2
"12 mm",12,1.2,3.8,1.6
"16 mm",16,1.6,4.6,2
"20 mm",20,2,6,2.5
"25 mm",25,2.5,7.5,3

"ISO8740length"
"nom","min","max"
"8",7.75,8.25
"10",9.75,10.25
"12",11.5,12.5
"14",13.5,14.5
"16",15.5,16.5
"18",17.5,18.5
"20",19.5,20.5
"22",21.5,22.5
"24",23.5,24.5
"26",25.5,26.5
"28",27.5,28.5
"30",29.5,30.5
"32",31.5,32.5
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.25,55.75
"60",59.25,60.75
"65",64.25,65.75
"70",69.25,70.75
"75",74.25,75.75
"80",79.25,80.75
"85",84.25,85.75
"90",89.25,90.75
"95",94.25,95.75
"100",99.25,100.75

"ISO8740range"
"Dia","min_L","max_L"
"1.5 mm","8","20"
"2 mm","8","30"
"2.5 mm","10","30"
"3 mm","10","40"
"4 mm","10","60"
"5 mm","14","60"
"6 mm","14","80"
"8 mm","14","100"
"10 mm","14","100"
"12 mm","18","100"
"16 mm","22","100"
"20 mm","26","100"
"25 mm","26","100"
